Path,AdministrativeCategory,DriverPackage
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\Latitude 5290 2-in-1\A13-33WK3\Raw Files,Latitude 5290 2-in-1 (A13-33WK3),Latitude 5290 2-in-1 (A13-33WK3)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\Latitude 7200 2-in-1\A06-D6F40\Raw Files,Latitude 7200 2-in-1 (A06-D6F40),Latitude 7200 2-in-1 (A06-D6F40)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\Latitude 7210 2-in-1\A01-NV253\Raw Files,Latitude 7210 2-in-1 (A01-NV253),Latitude 7210 2-in-1 (A01-NV253)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\Latitude 7390 2-in-1\A12-9W2XJ\Raw Files,Latitude 7390 2-in-1 (A12-9W2XJ),Latitude 7390 2-in-1 (A12-9W2XJ)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\Latitude E5440\A04-00F72\Raw Files,Latitude E5440 (A04-00F72),Latitude E5440 (A04-00F72)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\Latitude E5570\A18-441JC\Raw Files,Latitude E5570 (A18-441JC),Latitude E5570 (A18-441JC)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\Latitude E6430\A01-6GCWC\Raw Files,Latitude E6430 (A01-6GCWC),Latitude E6430 (A01-6GCWC)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\Latitude E7250\A07-JHVF1\Raw Files,Latitude E7250 (A07-JHVF1),Latitude E7250 (A07-JHVF1)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\Latitude E7270\A12-1Y7X7\Raw Files,Latitude E7270 (A12-1Y7X7),Latitude E7270 (A12-1Y7X7)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\OptiPlex 3060\A11-KH81V\Raw Files,OptiPlex 3060 (A11-KH81V),OptiPlex 3060 (A11-KH81V)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\OptiPlex 7010\A01-GR1XM\Raw Files,OptiPlex 7010 (A01-GR1XM),OptiPlex 7010 (A01-GR1XM)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\OptiPlex 7040\A13-NV9TG\Raw Files,OptiPlex 7040 (A13-NV9TG),OptiPlex 7040 (A13-NV9TG)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\OptiPlex 7050\A13-28PGF\Raw Files,OptiPlex 7050 (A13-28PGF),OptiPlex 7050 (A13-28PGF)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\OptiPlex 7060\A10-TDYYJ\Raw Files,OptiPlex 7060 (A10-TDYYJ),OptiPlex 7060 (A10-TDYYJ)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\OptiPlex 9020\A05-6TD3V\Raw Files,OptiPlex 9020 (A05-6TD3V),OptiPlex 9020 (A05-6TD3V)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\Precision 3510\A15-8FHVG\Raw Files,Precision 3510 (A15-8FHVG),Precision 3510 (A15-8FHVG)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\Precision 3520\A13-F2C2V\Raw Files,Precision 3520 (A13-F2C2V),Precision 3520 (A13-F2C2V)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\Precision 3530\A11-8W63V\Raw Files,Precision 3530 (A11-8W63V),Precision 3530 (A11-8W63V)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\Precision 3541\A08-F8V6G\Raw Files,Precision 3541 (A08-F8V6G),Precision 3541 (A08-F8V6G)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\Precision 3551\A01-F43FR\Raw Files,Precision 3551 (A01-F43FR),Precision 3551 (A01-F43FR)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\Precision 7820 Tower\A10-VWMKM\Raw Files,Precision 7820 Tower (A10-VWMKM),Precision 7820 Tower (A10-VWMKM)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\Precision M2800\A03-6HN8N\Raw Files,Precision M2800 (A03-6HN8N),Precision M2800 (A03-6HN8N)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\Precision Tower 3430\A07-HDC50\Raw Files,Precision Tower 3430 (A07-HDC50),Precision Tower 3430 (A07-HDC50)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\Precision Tower 3431\A04-M43HV\Raw Files,Precision Tower 3431 (A04-M43HV),Precision Tower 3431 (A04-M43HV)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\Precision Tower 5810\A05-774GJ\Raw Files,Precision Tower 5810 (A05-774GJ),Precision Tower 5810 (A05-774GJ)
\\svw0210\source$\FAT\#Windows10Source\Drivers\Dell\Precision Tower 7910\A06-RN2J6\Raw Files,Precision Tower 7910 (A06-RN2J6),Precision Tower 7910 (A06-RN2J6)